1-1-03-005	Sammanthranapura
1-1-03-010	Mattakkuliya
1-1-03-015	Modara
1-1-03-020	Madampitiya
1-1-03-025	Mahawatta
1-1-03-030	Aluthmawatha
1-1-03-035	Lunupokuna
1-1-03-040	Bloemendhal
1-1-03-045	Kotahena East
1-1-03-050	Kotahena West
1-1-03-055	Kochchikade North
1-1-03-060	Jinthupitiya
1-1-03-065	Massangar Street
1-1-03-070	New Bazaar
1-1-03-075	Grandpass South
1-1-03-080	Grandpass North
1-1-03-085	Nawagampura
1-1-03-090	Maligawatta East
1-1-03-095	Kettarama
1-1-03-100	Aluthkade East
1-1-03-105	Aluthkade West
1-1-03-110	Kochchikade South
1-1-03-115	Pettah
1-1-03-120	Fort
1-1-03-125	Galle Face
1-1-03-130	Slave Island
1-1-03-135	Hunupitiya
1-1-03-140	Suduwella
1-1-03-145	Keselwatta
1-1-03-150	Panchikawatta
1-1-03-155	Maligawatta West
1-1-03-160	Maligakanda
1-1-03-165	Maradana
1-1-03-170	Ibbanwala
1-1-03-175	Wekanda
1-1-06-005	Wadulla
1-1-06-010	Sedawatta
1-1-06-015	Halmulla
1-1-06-020	Kotuvila
1-1-06-025	Veheragoda
1-1-06-030	Orugodawatta
1-1-06-035	Meethotamulla
1-1-06-040	Welewaththa
1-1-06-045	Kiththampahuwa
1-1-06-050	Wennawatta
1-1-06-055	Mahabuthgamuwa B
1-1-06-060	Kuda Buthgamuwa
1-1-06-065	Kelanimulla
1-1-06-070	Ambathale
1-1-06-075	Mulleriyawa North
1-1-06-080	Belagama
1-1-06-085	Kotikawatta East
1-1-06-090	Maha Buthgamuwa A
1-1-06-095	Maha Buthgamuwa C
1-1-06-100	Wellampitiya
1-1-06-105	Kuriniyawatta
1-1-06-110	Kolonnawa
1-1-06-115	Dahampura
1-1-06-120	Singhapura
1-1-06-125	Megoda Kolonnawa
1-1-06-130	Bopeththa
1-1-06-135	Batalandahena
1-1-06-140	Kotikawatta West
1-1-06-145	Mulleriyawa South
1-1-06-150	Malgama
1-1-06-155	Udumulla North
1-1-06-160	Maligagodella
1-1-06-165	Rajasinghagama
1-1-06-170	Udumulla South
1-1-06-175	Himbutana East
1-1-06-180	Himbutana West
1-1-06-185	Malpura
1-1-06-190	Gothatuwa New Town
1-1-06-195	Kajugahawatta
1-1-06-200	Gothatuwa
1-1-06-205	Salamulla
1-1-06-210	Wijayapura
1-1-06-215	Gajabapura
1-1-06-220	Madinnagoda
1-1-06-225	Elhena
1-1-06-230	Dodamgahahena
1-1-09-005	Welivita
1-1-09-010	Raggahawatta
1-1-09-015	Hewagama
